Item No.,Item Description,CPT,Price
,,,
   10001,MODERATE SEDATION(MS) MD SELF <5 30MIN,,$352.00
   10002,MODERATE SEDATION(MS) SELF  >5 30MIN,,$525.00
   10003,MODERATE SEDATION(MS) MD SELF ADD 15MIN,,$433.00
   10004,MODERATE SEDATION(MS) MD+MD <5 30MIN,,$541.00
   10005,MODERATE SEDATION(MS) MD+MD >5 30MIN,,"$1,050.00"
   10006,MODERATE SEDATION(MS) MD+MD ADD 15MIN,,$731.00
   10010,MODERATE SEDATION(MS) MD SELF <5 30MIN,,$352.00
   99001,BAD DEBT WRITE-OFF,,$0.00
   99002,SMALL BALANCE ADJUSTMENT,,$0.00
   99003,BALANCE TRANSFER,,$0.00
   99004,BAD DEBT RECOVERY,,$0.00
   99005,NONSUFFICIENT FUNDS FEE,,$33.00
   99006,PATIENT REFUND,,$0.00
   99007,PRIOR BAD DEBT,,$0.00
   99008,EMPLOYEE DISCOUNTS,,$0.00
   99009,COURTESY DISCOUNTS,,$0.00
   99010,Administrative Adjustment,,$0.00
   99011,PR AR DEDUCTION,,$0.00
   99012,DO NOT USE!!! ENTER THROUGH RCPS,,$0.00
   99013,DO NOT USE!!! ENTER THROUGH RCPTS,,$0.00
   99014,DO NOT USE!!! ENTER THROUGH RCPS,,$0.00
   99015,CONVERSION ACCOUNT ADJUSTMENT,,$0.00
   99016,TIMELY FILING ADJUSTMENT,,$0.00
   99017,CHARITY CARE ADJUSTMENT,,$0.00
   99018,Employee Testing write off,,$0.00
   99100,PRIOR BAD DEBT,,$0.00
   99500,MEDICARE NON COVERED WO,,$0.00
  100428,AMBULANCE/BLS/NONEMERGENCY TRANSPORT,,$0.00
  107003,OR LEVEL I INITIAL 30,,"$4,200.00"
  107006,OR LEVEL I SUBSQ 15 MIN,,"$1,050.00"
  107007,OR LEVEL II INITIAL 30 M,,"$4,725.00"
  107009,OR LEVEL II SUBSQ 15 MIN,,"$1,260.00"
  107011,OR LEVEL III INTIAL 30,,"$5,250.00"
  107012,OR LEVEL III SUBSQ 15,,"$1,785.00"
  107013,OR LEVEL IV INITIAL 30 MIN,,"$1,597.00"
  107014,OR LEVEL IV SUBSQ 15 MIN,,"$1,998.00"
  107039,TRANSFUSION,36430,$0.00
  107046,INFUSION THERAP\DIAG 1ST SURG,96365,$0.00
  120013,LIVER BIOPSY,,$0.00
  120015,INSER/REPLACE SNEURO/PULSE GEN/RECEIVER,63685,$0.00
  120016,GEN NEUROSTIMULATOR IMPLANT,C1767,$0.00
  120017,GEN NERO IMPLANT W RECHARGE BATTERY,C1820,$0.00
  120018,"LEAD, NEURO STIMULATOR IMPLANT",C1778,$0.00
  120019,PECU IMPLANT NEURO W EPIDURAL,63650,$0.00
  120020,ELECTRIC  ANALY OF INPG SYSTEM 1 HOUR,95972,$0.00
  120021,ELEC ANALY INPGS PROGRAM 30 MIN ADD'L,95973,$0.00
  120022,ELECTRIC ANALYSIS OF INPGS SIMPLE,95971,$0.00
  120023,REMOVAL NEURO STIM ELECTRODE,63661,$0.00
  120024,REV/REM OF SNPG OR RECEIVER,63688,$0.00
  120025,REVISION OF SNEP WITH FLURO,63663,$0.00
  120026,IMPLANT OF NEURO STIM ELEC INTO PERE NER,64575,$0.00
