Item No.,Item Description,CPT,Price
  120031,O/P SURG RECOVERY 1ST 30,,$0.00
  125001,IM/SQ INJECTION SURG,96372,$38.00
  125002,INJECTION ADMIN - IV SURG,96374,$0.00
  125005,INFUSION FIRST HOUR SURG,96360,$275.00
  125006,CHEMOTHERAPY SQ/IM,96401,$0.00
  125012,TRANSFUSION,36430,$0.00
  125049,TREATMENT ROOM,,$525.00
  125050,PROCEDURE ROOM,,$788.00
  125052,SKIN TB-PPD,86580,$0.00
  125053,TUBERCULIN TEST NUSD,86580,$27.00
  143245,CRE PROCEDURE,43245,$0.00
  180121,KIT TRANSPAC IV MONITORING,,$0.00
  290965,VENOUS BILATERAL EXTREMITY STUDY DOPPLER,93965,$0.00
  340999,MRI FACIAL WO,70540,$0.00
  371200,BB ANTIBODY DETECTION (DNU),86850,$0.00
  371201,BB ANTIBODY ID (DNU),86870,$0.00
  377550,MYASTHENIA GRAVIS,83519,$0.00
  379998,MRO REVIEW,,$0.00
  379999,BLOOD GLUCOSE FINGERSTICK HEALTH FAIR,,$0.00
  407401,RECOVERY INITIAL 30 MIN,,$735.00
  407402,RECOVERY SUBSQ 15 MIN,,$315.00
  710338,ACTH STIM PANEL ADR INS,80400,$0.00
  711558,CA 125 (do not use),86304,$0.00
  711664,LIVER-KIDNEY MICRO AB,86376,$0.00
  712800,THHROID ANTIBODY PEROXIDAE,82024,$0.00
  801021,FNA W\O IMAGE,10021,$0.00
  811021,FNA W\O IMAGE,10021,$0.00
  900000,REGULAR DIET,,$0.00
  919191,..TESTING DO NOT ORDER FSH,83001,$0.00
  999001,MISC ITEM SURGERY,,$0.00
  999004,MISC ITEM RECOVERY UNIT,,$0.00
  999010,MISC ITEM MED SURG,,$0.00
  999012,MISC ITEM PHARMACY,,$0.00
  999016,MISC ITEM HOUSE SUPERVISOR,,$0.00
  999018,MISC ITEM MATERIALS,,$0.00
  999022,MISC ITEM ANESTHESIA,,$0.00
  999026,MISC ITEM CAT SCAN,,$0.00
  999028,MISC ITEM RADIOLOGY,,$0.00
  999029,MISC ITEM ULTRASOUND,,$0.00
  999031,MISC ITEM MAMMO,,$0.00
  999032,MISC ITEM PATHOLOGY,,$0.00
  999034,MISC ITEM MRI,,$0.00
  999037,MISC ITEM LABORATORY,,$0.00
  999044,MISC ITEM ELECTRO CARDIOLOGY,,$0.00
  999045,TELEMETRY,93236,$0.00
  999050,MISC ITEM CARDIO ULTRASOUND,,$0.00
  999054,MISC ITEM RESPIRATORY THERAPY,,$0.00
  999057,MISC ITEM CENTRAL STERILE,,$0.00
  999058,MISC ITEM BLOOD BANK,,$0.00
  999080,MISC ITEM EMERGENCY SERVICES,,$0.00
  999099,MISC ITEM DIETARY,,$0.00
  999600,MISC ITEM NURSING ADM,,$0.00
  999778,MISC ITEM SPECIALTY CLINIC,,$0.00
  999810,MISC ITEM HOUSEKEEPING,,$0.00
  999820,MISC ITEM LAUNDRY & LINEN,,$0.00
  999830,MISC ITEM GROUNDS,,$0.00
  999835,MISC ITEM PLANT OPERATIONS,,$0.00
  999840,MISC ITEM MEDICAL RECORDS,,$0.00
  999849,MISC ITEM UTILIZATION & REVIEW,,$0.00
  999896,MISC ITEM INFECTION CONTROL,,$0.00
  999900,MISC ITEM ADMINISTRATION,,$0.00
  999903,MISC ITEM FINANCIAL MANAGEMENT,,$0.00
  999904,MISC ITEM CREDIT - COLLECTIONS,,$0.00
  999905,MISC ITEM BUSINESS OFFICE,,$0.00
  999908,MISC ITEM INFO SYSTEMS,,$0.00
  999909,MISC ITEM ADMITTING,,$0.00
  999916,MISC ITEM HUMAN RESOURCES,,$0.00
  999919,MISC ITEM MARKETING,,$0.00
  999946,MISC ITEM QA,,$0.00
  999951,MISC ITEM SOCIAL SERVICES,,$0.00
 1003001,CONCURRENT MEDICATION THERAPY,96368,$45.00
 1003002,IV PUSH INIT,96374,$48.00
 1003003,IV PUSH NEW DRUG,96375,$48.00
 1003004,IM/SQ INJECTION,96372,$32.00
 1003005,BLOOD PATCH,62273,$0.00
 1003006,FOLEY CATH INSERTION SIMPLE,51702,$0.00
 1003007,PICC LINE INSERTION,36569,"$1,161.00"
 1003008,PORT A CATH DECLOTTING,36593,$0.00
 1003009,VENIPUNCTURE BY NURSE,36415,$0.00
 1003010,THERAPEUTIC PHLEBOTOMY,99195,$0.00
 1003011,IRRIGATION OF IMPLANTED  VAD,96523,$189.25
 1003020,MSU OBSV CARE INITIAL HOUR,99218,$0.00
 1003021,MSU OBSV CARE HOURLY,G0378,$0.00
 1003041,TRANSFUSION,36430,$0.00
 1003043,IV HYDR ADD HR,96361,$13.00
 1003079,MED IVPB 1ST HR,96365,$178.50
 1003080,MED IVPB ADD HR,96366,$60.00
 1003417,OBS CARE INITIAL HR 611,99218,$0.00
 1003418,OBS CARE HOURLY 611,99218,$0.00
 1003419,IV HYDR 1ST HOUR,96360,$275.00
 1003420,CHEMOTHERAPY INFUSION,96413,$0.00
 1003421,CHEMO THERAPY SQ/IM,96401,$0.00
 1003422,IV PUSH ADDTNL SEQ DRUG,96376,$0.00
 1003436,NURSING PROCEDURE,,$0.00
 1003619,OBS CARE INITIAL HR 613,99218,$0.00
 1003621,OBS CARE HOURLY 613,99218,$0.00
 1006367,MED IVPB NEW DRUG,96367,$60.00
 1006376,IV PUSH SAME DRUG,96376,$48.00
 1200001,SODIUM CHL 0.45% + 20MEQ KCL IV 1000ML,,$64.00
 1200002,MAG/ALUM/SIMETH 1200/1200/120MG 30ML SOL,,$8.00
 1200003,IPRATROPIUM/ALBUTEROL INHALER,J7620,$318.00
 1200004,ACETAMINOPHEN 80MG/0.8ML SOL (15ML),,$21.00
 1200005,ACETAMINOPHEN 80MG/0.8ML LIQ,,$12.00
 1200006,PHENYLEPHRINE OPHTH SOL 10%,,$163.00
 1200007,BENZOCAINE/MENTHOL 15/4MG LOZENGE,,$6.00
 1200008,BUDESONIDE INH 90MCG,,$300.00
 1200009,CYCLOPENTOLATE 2% OPHTH SOL 2ML,,$114.00
 1200010,CLOTRIMAZOLE (MONISTAT) VAG CRM 1%,,$32.00
 1200011,HYDROMORPHONE 50MG/5ML INJ,J1170,$60.00
 1200012,ISOPEOTERENOL 1:5000 INJ 5ML,,$171.00
 1200013,KETOROLAC 10MG TAB,J3490,$6.00
 1200014,LIDOCAINE 1% PF INJ 50MG/5ML,J3490,$29.00
 1200015,MORPHINE 20MG/ML SOLN,J2270,$11.00
 1200016,NYSTATIN PDR 60GM,,$312.00
 1200017,SODIUM BICARBONATE 8.4% 50MEQ/50ML INJ,J3490,$29.00
 1200018,THROMBIN 5000 UNITS,,$316.00
 1200019,AMINO ACIDS 10% 1000ML,,$98.00
 1200020,TRIAMCINOLONE 0.1% CREAM 80GM,,$56.00
 1200021,WITCH HAZEL AER/GLYCER PDS,,$14.00
 1200022,DAPTOMYCIN / NS IVPB: 500MG/50 ML,J0878,$842.00
 1200023,PHARMACY MISC,,$6.00
 1200024,PATIENT OWN MED,,$6.00
 1200025,ROCEPHIN / NS IVPB : 1GM/50 ML,J3490,$0.00
 1200026,PROLIA (DENOSUMAB) 60MG/1ML INJ,J0897,"$4,797.00"
 1200027,VANCOMYCIN / NS IVPB : 1GM/250ML,J3490,$71.00
 1200028,ZOSYN / NS IVPB : 3.375GM / 100ML,J2543,$122.00
 1200029,TICARCILLIN/CLAV 3.1GM /100 ML PREMIX,J3490,$79.00
 1200030,MORPHINE PCA : 50MG/50ML NS,J2271,$110.00
 1200031,MEMANTINE 5 MG TABLET,,$0.00
 1200032,PENICILLIN 500MG TAB,,$6.00
 1200033,WARFARIN SODIUM 5MG TAB,,$8.00
 1200034,WARFARIN SODIUM 2MG TAB,,$7.00
 1200035,WARFARIN SODIUM 1MG TAB,,$6.00
 1200036,ACYCLOVIR 200MG CAP,,$6.00
 1200037,SIMVASTATIN 10MG TAB,,$6.00
 1200038,TERAZOSIN 1MG TAB,,$9.00
 1200039,MECLIZINE 25MG TAB,,$28.00
 1200040,LANTUS INSULIN SOLO 100 U-ML 3ML,J1815,$158.00
 1200041,GUAIFENESIN/CODEINE 100/10MG 5ML SOL,,$8.00
 1200042,FERAHEME 30MG/1ML IV SOLUTION,Q0138,$869.00
 1200043,LISPRO INSULIN 1UNIT/0.01ML INJ  UD,J1815,$10.00
 1200044,INSULIN NPH 1UNIT/0.01ML INJ UD,J1815,$10.00
 1200045,INSULIN REGULAR VIAL 100 UNITS INJ,J1815,$172.00
 1200046,INSULIN HUM/NPH 70/30 INJ 1U/0.01ML UD,J1815,$10.00
 1200047,OCTREOTIDE INJ 50MCG/1ML,J2354,$26.00
 1200048,BISACODYL 5MG TABLET,,$6.00
 1200049,MITOMYCIN 5MG VIAL,J9280,$432.00
 1200050,ASPIRIN 325MG TAB,,$6.00
 1200051,ERYTHROMYCIN 250MG TAB,,$6.00
 1200052,PAMIDRONATE (AREDIA) 30MG,J2430,$98.00
 1200053,CELECOXIB 100MG CAP,,$15.00
 1200054,METOPROLOL 5MG/5ML INJ,J3490,$29.00
 1200055,PHYTONADIONE 10MG/ML INJ,J3430,$58.00
 1200056,NULYTELY SOLN,,$61.00
 1200057,GLUCAGON 1MG,J1610,$484.00
 1200058,CARBIDOPA/LEVODOPA 25/100MG TAB,,$8.00
 1200059,DOXYCYCLINE 100MG CAP,,$6.00
 1200061,CALCITRIOL 0.25MCG CAP,,$8.00
 1200062,LOPERAMIDE 2MG CAP,,$6.00
 1200063,LOSARTAN 50MG TAB,,$8.00
 1200064,RAMIPRIL 2.5MG CAP,,$21.00
 1200065,DILTIAZEM CD 180MG CAP,,$9.00
 1200066,ACTIVATED CHARCOAL/WATER 25GM SUSP,,$125.00
 1200067,BACITRACIN/NEOMYCIN/POLYMYXIN OINT 30GM,,$18.00
 1200068,HYDRALAZINE 25MG TAB,,$6.00
 1200069,METHYLENE BLUE IV SOLUTION 10MG/1ML,Q9968,$91.00
 1200071,POTASSIUM ACETATE 40MEQ/20ML INJ,,$29.00
 1200075,POTASSIUM CHLORIDE 20MEQ/15ML ORAL SOL,,$6.00
 1200076,PENTOXIFYLLINE 400MG TAB,,$6.00
 1200078,LEVETIRACETAM 500MG/5ML SOL,,$18.00
 1200079,PHENYTOIN 125MG/5ML SUSP 8OZ,,$132.00
 1200080,LEVETIRACETAM 250MG TAB,J1953,$7.00
 1200081,VANCOMYCIN 125MG CAPS,,$115.00
 1200082,TAMSULOSIN 0.4MG CAPS,,$6.00
 1200083,GLYCERIN ADULT SUPPOSITORY,,$6.00
 1200084,GLYCERIN LIQ SUPP-INFANT,,$6.00
 1200085,NITROGLYCERIN/D5W 50MG 250ML,,$63.00
 1200087,FLUMAZENIL 0.5MG/5ML VL,J3490,$250.00
 1200088,EPHEDRINE 50MG/ML AMP,J3490,$29.00
 1200089,FENTANYL RSVR 25MCG INJ AMP,,$40.00
 1200090,NEUPOGEN (FILGRASTIM) 480 MCG SYRINGE,J1442,"$1,922.00"
 1200091,PHENYLEPHRINE HCL 10MG/ML INJ,J3490,$29.00
 1200092,LIDOCAINE 5% OINT,,$68.00
 1200093,BENZTROPINE 1MG TAB,,$6.00
 1200094,HYDROXYZINE 25MG CAP,,$6.00
 1200095,CROTALIDAE POLYVALENT 1GM/2ML INJ,,"$11,232.00"
 1200096,ATROPINE 0.4MG/ML INJ,J0461,$29.00
 1200097,AMPICILLIN 1GM VIAL,J0290,$29.00
 1200098,VERAPAMIL 80MG TAB,,$6.00
 1200099,MANNITOL 25% 12.5GM/50ML INJ,J2150,$29.00
 1200100,NEO/POLY/DEX OPHTH SOL 5ML,,$259.00
 1200101,TETANUS TOXOID ADSORBED,90703,$141.00
 1200102,THYROID 1/2GR (30MG) TAB,,$6.00
 1200103,GI COCKTAIL 30ML(MYL/DONN/LIDO) SOLN,,$104.00
 1200104,SILVER SULFADIAZINE 1% CRM 400GM,,$167.00
 1200106,METHOCARBAMOL 500MG TAB,,$6.00
 1200107,GUAIFENESIN  100MG/5ML ORAL SOLN,,$6.00
 1200108,VASOPRESSIN 20U/ML INJ,J3490,$49.00
 1200109,"SYN. CONJUGATED ESTROGENS,A 0.625MG TAB",,$28.00
 1200110,HYDRALAZINE 20MG/ML INJ,J0360,$32.00
 1200111,HYDROXYZINE 25MG/ML IM INJ,,$29.00
 1200112,NOREPINEPHRINE BITARTRATE 4MG/4ML INJ,J3490,$41.00
 1200113,HYDROCORTISONE 25MG SUPP,,$6.00
 1200114,COLCHICINE 0.6MG TAB,,$33.00
 1200115,NOVOLOG INSULIN 1UNIT/.0.01 ML UD,J1815,$10.00
 1200116,MEDROXYPROGESTERONE 10MG TAB,,$6.00
 1200117,PILOCARPINE 1% OPHTH SOLN 15ML,,$149.00
 1200118,CARVEDILOL(COREG  CR ) 20MG,,$106.00
 1200119,MORPHINE PCA : 100MG/50ML,J2271,$110.00
 1200120,RAPID INTUBATION KIT,,$390.00
 1200121,VITAMIN B1 TAB 100MG,,$6.00
 1200122,SULFACETAMIDE SODIUM 10% 15ML OPHTH SOL,,$28.00
 1200123,ACYCLOVIR 200MG/5ML SUSP,,$6.00
 1200124,INFLUENZA VACCINE 0.5ML,90658,$72.00
 1200125,OSELTAMIVIR 75MG CAP,,$55.00
 1200126,CYPROHEPTADINE 4MG TAB,,$6.00
 1200127,PHENOBARBITAL 32.4MG TAB,,$6.00
 1200128,MAGNESIUM SULFATE 2GM/50ML PREMIX,J3475,$51.00
 1200129,DUTASTERIDE 0.5MG CAP,,$22.00
 1200130,INFLUENZA A (H1N1-SWINE) VAC - 2009,,$0.00
 1200131,BUPIVACAINE 0.5% 10ML INJ,J3490,$42.00
 1200132,BUPIVACAINE 0.75% 10ML INJ,J3490,$29.00
 1200133,CALCIUM GLUCONATE 2GM/50ML PREMIX,J3490,$45.00
 1200134,SODIUM CHLORIDE NASAL SPRAY 44ML,,$12.00
 1200135,DICLOFENAC SODIUM TOPICAL GEL 1% 100GM,,$152.00
 1200136,LIDODERM 5% PATCH 700MG,,$78.00
 1200139,RIFAMPIN 300MG CAP,,$11.00
 1200140,MIDAZOLAM/APAP 2.5MG/ML SOLN(0.5MG/KG),,$17.00
 1200141,SULINDAC 200MG TAB,,$7.00
 1200142,MAGNESIUM OXIDE 400MG TAB,,$6.00
 1200143,FLUCONAZOLE (DIFLUCAN) 200mg/100ml IV,,$38.00
 1200144,FERROUS SULFATE DROPS 50ML,,$26.00
 1200146,CLINDAMYCIN 600MG/ D5W 50ML PREMIX,J3490,$71.00
 1200147,ISONIAZID 300MG TAB,,$6.00
 1200148,ETHAMBUTOL 400MG TAB,,$11.00
 1200149,PYRAZINAMIDE 500MG TAB,,$11.00
 1200150,VITAMIN B6 50MG TAB,,$6.00
 1200151,SUMATRIPTAN 100MG TAB,,$14.00
 1200152,PSYLLIUM FIBER 12GM PWD PCKT,,$6.00
 1200153,ATROPINE 0.5MG/5ML SYG- PEDIATRIC,,$25.00
 1200156,VITAMIN B3 250MG TAB,,$6.00
 1200157,STP/TRIM (SEPTRA DS) 400/80MG TAB,,$6.00
 1200158,LIDOCAINE/PRILOC 2.5% INST CRM 5X5GM,,$35.00
 1200160,NF-CREON CAP DR 15000U-3000U-9500U,,$0.00
 1200161,NF-CREON ORAL DELAYED RELEASE CAPSULE,,$0.00
 1200162,NF-CREON ORAL DELAYED RELEASE CAPSULE,,$0.00
 1200163,NF-PROAIR HFA AER PWD 0.09MG/1ACT,,$0.00
 1200164,NF-HYDROCORTISONE TABLET 20MG,,$0.00
 1200165,NF-HYDROXYCHLOROQUINE SULFATE TAB 200MG,,$0.00
 1200166,NF-HYDROXYCHLOROQUINE SULFATE TAB 200MG,,$0.00
 1200167,NF-GABAPENTIN CAP 400MG,,$0.00
 1200168,NF-IRBESARTAN ORAL TABLET 150MG,,$0.00
 1200169,NF-PRAVASTATIN SODIUM ORAL TABLET 20MG,,$0.00
 1200170,NF-CHLORTHALIDONE TAB 25MG,,$0.00
 1200171,NF-PRIMIDONE ORAL TABLET 50MG,,$0.00
 1200172,NF-ESTRADIOL ACETATE VAG INSERT ER 0.05M,,$0.00
 1200173,NF-PRIMIDONE ORAL TABLET 50MG,,$0.00
 1200174,NF-IMIPRAMINE HCL ORAL TABLET 10MG,,$0.00
 1200177,NF-PRAVASTATIN SODIUM ORAL TABLET 10MG,,$0.00
 1200179,NF-GEODON CAP 80MG,,$0.00
 1200180,NF-GEODON CAP 60MG,,$0.00
 1200181,NF-GEODON CAP 80MG,,$0.00
 1200182,NF-TRILEPTAL ORAL TABLET 600MG,,$0.00
 1200183,INVANZ (ERTAPENEM) 1GM/50ML NS,J1335,$433.00
 1200184,NF-SENOKOT S ORAL TABLET 50MG-8.6MG,,$0.00
 1200185,NF-METHYLPHENIDATE HCL CAP ER 10MG,,$0.00
 1200187,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200188,OMALIZUMAB 150MG,J2357,"$2,478.00"
 1200189,NF-ZYVOX INTRAVENOUS SOLUTION 2MG/1ML,,$0.00
 1200190,CHOLESTYRAMINE ORAL 4GM,,$21.00
 1200191,NF-FINASTERIDE ORAL TABLET 5MG,,$0.00
 1200192,NF-BIAXIN FILMTAB ORAL TABLET 250MG,,$0.00
 1200193,NF-BIAXIN FILMTAB ORAL TABLET 500MG,,$0.00
 1200194,NF-SAXAGLIPTIN HYDROCHLORIDE TAB 2.5MG,,$0.00
 1200195,NF-CETIRIZINE HCL CHEW TAB 10MG,,$0.00
 1200196,NF-ALPHAGAN P OPHTH SOLN 0.15%,,$0.00
 1200197,NF-LUMIGAN OPHTH SOLN 0.01%,,$0.00
 1200198,LEVEMIR 100 UNITS INJ,J1815,$183.00
 1200199,NF-CHANTIX ORAL TABLET 1MG,,$0.00
 1200200,NF-DIPYRIDAMOLE ORAL TABLET 25MG,,$0.00
 1200201,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200202,NF-COMBIVENT INHALER,,$0.00
 1200203,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200204,NF-PROBIOTIC & ACIDOPHILUS ORAL CAPSULE,,$0.00
 1200205,NF-VICODIN ORAL TABLET 5MG-300MG,,$0.00
 1200206,NF-VARENICLINE TAB 1MG,,$0.00
 1200207,NF-CHANTIX ORAL TABLET 1MG,,$0.00
 1200208,NF-VYTORIN ORAL TABLET 10MG-40MG,,$0.00
 1200209,NF-PROPAFENONE HCL ORAL TABLET 225MG,,$0.00
 1200210,RANITIDINE INJ 50MG/2ML,J2780,$29.00
 1200211,NF-MIRALAX ORAL PWD FOR SOLN 17GM/1DOSE,,$0.00
 1200212,NF-FLUCONAZOLE IV SOLN 200MG/100ML,,$0.00
 1200213,NF-FLUCONAZOLE INTRAVENOUS SOLN 200MG/10,,$0.00
 1200214,NF-FLUCONAZOLE INTRAVENOUS SOLUTION 200/,,$0.00
 1200215,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200216,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200217,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200218,LEVOFLOXACIN 750MG TAB,,$8.00
 1200219,NF-PREVACID CAP DR 30MG,,$0.00
 1200220,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200221,NF-OCUVITE TABLET,,$0.00
 1200222,NF-ZANAFLEX CAP 4MG,,$0.00
 1200223,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200224,NF-ALBUTEROL SULFATE INH/NEB AER PWD 0.0,,$0.00
 1200225,NF-VALTREX ORAL TABLET 1GM,,$0.00
 1200226,NF-COQ10 IN OIL LIQUID CAPSULE 100MG-30I,,$0.00
 1200227,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200228,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200229,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200230,"EPOETIN ALFA 40,000 UNITS",,"$1,274.00"
 1200231,NF-HUMIBID L.A. ORAL TAB ER 600MG-300MG,,$0.00
 1200232,NF-SOTALOL HCL  ORAL TABLET 80MG,,$0.00
 1200233,POTASSIUM CHLORIDE 10MEQ/100ML VIAFLEX,,$29.00
 1200234,NF-OXCARBAZEPINE ORAL TABLET 300MG,,$0.00
 1200235,NF-ALBUTEROL INH/NEB AER PWD 0.09MG/ACT,,$0.00
 1200236,NF-PRADAXA CAP 150MG,,$0.00
 1200237,NF-RANITIDINE HCL CAP 150MG,,$0.00
 1200238,NF-GEODON CAP 80MG,,$0.00
 1200239,NF-ROBITUSSIN COUGH+CHEST CONGESTION DM,,$0.00
 1200240,NF-PROAIR HFA AER PWD 0.09MG/1ACT,,$0.00
 1200241,NF-HYDROGEL GEL,,$0.00
 1200242,NF-TYLENOL PM EXTRA STRENGTH TABLET,,$0.00
 1200243,NF-MIDODRINE HCL ORAL TABLET 5MG,,$0.00
 1200244,NF-LINZESS ORAL CAPSULE 290MCG,,$0.00
 1200245,NF-ZANTAC 150 TAB 150MG,,$0.00
 1200246,NF-LURASIDONE HYDROCHLORIDE TAB 40MG,,$0.00
 1200247,NF-PROMETH/CODEINE SYRUP 6.25MG-10MG/5ML,,$0.00
 1200248,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200249,"NF-NYSTATIN CREAM 100,000U/GM",,$0.00
 1200250,NF-ARMOUR THYROID TABLET 60MG,,$0.00
 1200251,NF-MIRALAX ORAL PWD FOR SOLN 17GM/1DOSE,,$0.00
 1200252,NF-PROAIR HFA AER PWD 0.09MG/1ACT,,$0.00
 1200253,NF-FLORINEF ACETATE TAB 0.1MG,,$0.00
 1200254,FLUDROCORTISONE 0.1MG TAB,,$9.00
 1200255,NF-PROAIR HFA INH AER PWD 0.09MG/1 INH,,$0.00
 1200256,NF-PROAIR HFA INH AER PWD 0.09MG/1 INH,,$0.00
 1200257,NF-CUPRIMINE CAP 250MG,,$0.00
 1200258,NF-MAGNESIUM GLUCONATE TABLET 500MG,,$0.00
 1200259,NF-METHOTREXATE ORAL TABLET 2.5MG,,$0.00
 1200260,NF-ABILIFY DISCMELT DISINTEGRATING TAB 1,,$0.00
 1200261,NF-LODINE XL TABLET 500MG,,$0.00
 1200262,NF-SYNTHROID ORAL TABLET 0.137MG,,$0.00
 1200263,NF-BICALUTAMIDE ORAL TABLET 50MG,,$0.00
 1200264,NF-COL-RITE LIQUID CAPSULE 100MG,,$0.00
 1200265,NF-ADVAIR DISKUS 100/50 DISK,,$0.00
 1200266,NF-RANITIDINE HCL CAP 300MG,,$0.00
 1200267,NF-TOFRANIL TABLET 50MG,,$0.00
 1200268,NF-BUPROPION HCL,,$0.00
 1200269,NF-PROVENTIL HFA INHALER 0.09MG/INH,,$0.00
 1200270,NF-ESTRADIOL ORAL TABLET 0.5MG,,$0.00
 1200271,NF-HYDROXYCHLOROQUINE SULFATE TAB 200MG,,$0.00
 1200272,NF-HYDROXYCHLOROQUINE SULFATE TAB 200MG,,$0.00
 1200273,NF-METOPROLOL SUCCINATE ORAL TAB ER 25MG,,$0.00
 1200274,NF-RIBAVIRIN CAP 200MG,,$0.00
 1200275,NF-NICODERM CQ TD PATCH ER 7MG/24HR,,$0.00
 1200276,NF-LEVEMIR FLEXPEN SUBQ SOLN 100U/1ML,,$0.00
 1200277,NF-GABAPENTIN SOLN 250MG/5ML,,$0.00
 1200278,NF-NAMENDA XR CAP ER 14MG,,$0.00
 1200279,NF-HUMIRA SUBCUTANEOUS KIT,,$0.00
 1200280,NF-PANCREAZE ORAL DELAYED RELESE CAPSULE,,$0.00
 1200281,NF-PENTASA CAP ER 500MG,,$0.00
 1200282,NF-CEFDINIR CAP 300MG,,$0.00
 1200283,NF-NEXIUM CAP DR 40MG,,$0.00
 1200284,NF-OXYCONTIN EXT-RELEASE TABLET 10MG,,$0.00
 1200285,NF-PENTASA CAP ER 500MG,,$0.00
 1200286,NF-PANCREAZE CAP DR,,$0.00
 1200287,NF-HYDROCORTISONE TAB 10MG,,$0.00
 1200288,NF-PROPRANOLOL HCL TAB 10MG,,$0.00
 1200289,NF-MIDODRINE HCL TAB 2.5MG,,$0.00
 1200290,NF-15% AMINO ACIDS INTRAVENOUS SOLUTION,,$0.00
 1200291,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200292,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200293,NF-LUMIGAN OPHTH SOLN 0.01%,,$0.00
 1200294,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200295,NF-ADVAIR DISKUS 250/50 DISK,,$0.00
 1200296,NF-ZYRTEC DISINTEGRATING TAB 10MG,,$0.00
