chg_cod_ext_id,chg_desc,ref_eff_ts,row_sta_cd,table_int_id,ref_int_id,org_int_id,lst_mod_id,lst_mod_ts,compute_0010,org_nm,gl_account_id,gl_sub_acct,chg_type_int_id,cod_dtl_ds,active_dt,cod_dtl_ext_id,chg_amt_1,cpt4_ext_id,gl_stat
1010001,INTENSIVE CARE UNIT,09/12/2011 08:05:54:5,A,600,35154,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3010,,14792,Room and Bed Charges,10/01/2012 00:00:00,0200,9100,,
1015001,CORONARY CARE UNIT,09/12/2011 08:05:54:5,A,600,35153,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3030,,14792,Room and Bed Charges,10/01/2012 00:00:00,0210,9100,,
1020101,TELEMETRY UNIT,09/12/2011 08:05:54:5,A,600,35161,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3150,,14792,Room and Bed Charges,10/01/2012 00:00:00,0214,6100,,
1022202,M/S ACUTE PRIVATE,09/12/2011 08:05:54:5,A,600,35155,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3170,,14792,Room and Bed Charges,10/01/2012 00:00:00,0111,4300,,
1022801,MS ACUTE SEMI PRIVATE,09/12/2011 08:05:54:5,A,600,35156,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3170,,14792,Room and Bed Charges,10/01/2012 00:00:00,0121,4100,,
1032101,ACUTE REHAB PRIVATE,09/12/2011 08:05:54:5,A,600,35147,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3440,,14792,Room and Bed Charges,10/01/2012 00:00:00,0118,4300,,
1032102,BED HOLD - REHAB,12/14/2012 14:50:21:01,A,600,32014,19,jlegaspi,12/14/2012 14:50:21:01,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3440,,14792,Room and Bed Charges,05/17/2012 00:00:00,0118,0,,
1033401,ACUTE REHAB SEMI-PRIVATE,09/12/2011 08:05:54:5,A,600,35148,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3440,,14792,Room and Bed Charges,10/01/2012 00:00:00,0128,4100,,
1040101,SUB-ACUTE PVT W/VENT,09/12/2011 08:05:54:5,A,600,35159,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3560,,14792,Room and Bed Charges,10/01/2012 00:00:00,0111,3600,,
1040501,SUB-ACUTE PVT NON-VENTS,09/12/2011 08:05:54:5,A,600,35158,19,CNV_charge_master,09/12/2011 08:05:54:5,ALHAMBRA HOSPITAL MEDICAL CENTER,ALHAMBRA HOSPITAL MEDICAL CENTER,3560,,14792,Room and Bed Charges,10/01/2012 00:00:00,0111,3200,,
